"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U3";"XCVR_2821";1;"2821";;;
2;"U1";"MODULE_ESP32-DEVKITC-32D";1;"ESP32-DEVKITC-32D";;;
3;"U5";"SOT-23";1;"MIC803-29D3VC3-TR";;;
4;"RR1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"R_US";;;
5;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_DIN965";17;"MountingHole_3.2mm_M3_DIN965";;;
6;"PP5,AF-MTU21D1,SJ2,SJ1,USB_Power1";"PinHeader_1x05_P2.54mm_Vertical";5;"Conn_01x05_Male";;;
7;"PP4,PP3,PP2,PP1";"PinHeader_1x02_P2.54mm_Vertical";4;"Conn_01x02_Male";;;
8;"F1";"Fuse_Littelfuse-LVR100";1;"Fuse";;;
9;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_ISO7380_Pad";8;"MountingHole_3.2mm_M3_ISO7380_Pad";;;
10;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2";4;"MountingHole_2.2mm_M2";;;
11;"C4,C9,C8,C7,C6,C5,C3";"C_Disc_D5.0mm_W2.5mm_P5.00mm";7;".01uF";;;
12;"ER3,ER2,ER1,RB2,RB1,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"10k";;;
13;"GPIO_HDR1,SF-SGPx1,SF-SCD4x1";"PinHeader_1x04_P2.54mm_Vertical";3;"Conn_01x04_Male";;;
14;"ENC1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"Rotary_Encoder_Switch";;;
15;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N4007";;;
16;"AF-OLED091";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08_Male";;;
17;"PB2,PB1";"SW_PUSH_6mm";2;"SW_Push_Dual_x2";;;
18;"AF-PM25x1";"PinHeader_1x08_P2.54mm_Vertical";1;"NC";;;
19;"LED1";"LED_D5.0mm";1;"LED";;;
20;"PJ2";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
21;"C2,C1";"CP_Radial_Tantal_D4.5mm_P5.00mm";2;"33uF";;;
22;"U2";"TO-220-3_Horizontal_TabDown";1;"LM1117-3.3";;;
